dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,ocsvm,0.01,0.01,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42254043,5.522119045,16.94465947,nu_0.5,TRUE
yeast,ocsvm,0.05,0.01,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42254043,5.522119045,16.94465947,nu_0.5,TRUE
yeast,ocsvm,0.1,0.01,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42254043,5.522119045,16.94465947,nu_0.5,TRUE
abalone,ocsvm,0,1.00E-06,TRUE,3,10,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,1.571785688,1.617946625,3.189732313,nu_0.1,TRUE
abalone,ocsvm,0.01,1.00E-06,TRUE,3,10,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,1.571785688,1.617946625,3.189732313,nu_0.1,TRUE
abalone,ocsvm,0.05,1.00E-06,TRUE,3,10,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,1.571785688,1.617946625,3.189732313,nu_0.1,TRUE
abalone,ocsvm,0.1,1.00E-06,TRUE,3,10,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,1.571785688,1.617946625,3.189732313,nu_0.1,TRUE
abalone,ocsvm,0,1.00E-06,TRUE,3,50,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,1.571785688,1.592199564,3.163985252,nu_0.1,TRUE
abalone,ocsvm,0.01,1.00E-06,TRUE,3,50,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,1.571785688,1.592199564,3.163985252,nu_0.1,TRUE
abalone,ocsvm,0.05,1.00E-06,TRUE,3,50,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,1.571785688,1.592199564,3.163985252,nu_0.1,TRUE
abalone,ocsvm,0.1,1.00E-06,TRUE,3,50,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,1.571785688,1.592199564,3.163985252,nu_0.1,TRUE
abalone,ocsvm,0,1.00E-06,TRUE,3,10,0,0,0,0.4903,0.951,0.647,0.4903,0.951,0.647,6.929770231,1.581724167,8.511494398,nu_0.5,TRUE
abalone,ocsvm,0.01,1.00E-06,TRUE,3,10,0,0,0,0.4903,0.951,0.647,0.4903,0.951,0.647,6.929770231,1.581724167,8.511494398,nu_0.5,TRUE
abalone,ocsvm,0.05,1.00E-06,TRUE,3,10,0,0,0,0.4903,0.951,0.647,0.4903,0.951,0.647,6.929770231,1.581724167,8.511494398,nu_0.5,TRUE
