dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,isf,0,1.00E-06,TRUE,100,50,0.341,0.9961,0,0.3381,0.9803,0.5028,0.3412,0.998,0,4.320641041,1952.738941,1957.059582,nu_0.5
yeast,isf,0.01,1.00E-06,TRUE,100,50,0.3383,0.9822,0,0.3381,0.9803,0.5028,0.3408,0.9961,0,4.320641041,1952.738941,1957.059582,nu_0.5
yeast,isf,0.05,1.00E-06,TRUE,100,50,0.3299,0.9428,0,0.3381,0.9803,0.5028,0.3399,0.9921,0,4.320641041,1952.738941,1957.059582,nu_0.5
yeast,isf,0.1,1.00E-06,TRUE,100,50,0.3165,0.8304,0,0.3381,0.9803,0.5028,0.3392,0.9882,0,4.320641041,1952.738941,1957.059582,nu_0.5
yeast,ocsvm,0,1.00E-06,TRUE,300,10,0.3408,0.9961,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,16.83984375,18.42470551,nu_0.1
yeast,ocsvm,0.01,1.00E-06,TRUE,300,10,0.3432,0.9882,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,16.83984375,18.42470551,nu_0.1
yeast,ocsvm,0.05,1.00E-06,TRUE,300,10,0.3203,0.8402,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,16.83984375,18.42470551,nu_0.1
yeast,ocsvm,0.1,1.00E-06,TRUE,300,10,0.3156,0.8087,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,16.83984375,18.42470551,nu_0.1
yeast,ocsvm,0,1.00E-06,TRUE,300,25,0.3345,0.9625,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,12.54942083,14.13428259,nu_0.1
yeast,ocsvm,0.01,1.00E-06,TRUE,300,25,0.3389,0.9625,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,12.54942083,14.13428259,nu_0.1
yeast,ocsvm,0.05,1.00E-06,TRUE,300,25,0.3157,0.8126,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,12.54942083,14.13428259,nu_0.1
yeast,ocsvm,0.1,1.00E-06,TRUE,300,25,0.3156,0.8087,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,12.54942083,14.13428259,nu_0.1
yeast,ocsvm,0,1.00E-06,TRUE,300,50,0.338,0.9625,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,12.52178621,14.10664797,nu_0.1
yeast,ocsvm,0.01,1.00E-06,TRUE,300,50,0.3403,0.9625,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,12.52178621,14.10664797,nu_0.1
yeast,ocsvm,0.05,1.00E-06,TRUE,300,50,0.3167,0.8126,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,12.52178621,14.10664797,nu_0.1
yeast,ocsvm,0.1,1.00E-06,TRUE,300,50,0.3156,0.8087,0,0.3416,1,0.5093,0.3416,1,0,1.584861755,12.52178621,14.10664797,nu_0.1
yeast,ocsvm,0,1.00E-06,TRUE,300,10,0.3416,1,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.70457315,19.83952808,nu_0.2
