dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,lof,0.05,0.0001,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.593883037567139,7.072759389877319,14.666642427444458,nu_0.1,
yeast,lof,0.1,0.0001,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.593883037567139,7.072759389877319,14.666642427444458,nu_0.1,
yeast,lof,0,0.0001,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.593883037567139,5.837932109832764,13.431815147399902,nu_0.1,
yeast,lof,0.01,0.0001,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.593883037567139,5.837932109832764,13.431815147399902,nu_0.1,
yeast,lof,0.05,0.0001,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.593883037567139,5.837932109832764,13.431815147399902,nu_0.1,
yeast,lof,0.1,0.0001,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.593883037567139,5.837932109832764,13.431815147399902,nu_0.1,
yeast,lof,0,0.0001,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.337085485458374,5.879600286483765,13.216685771942139,nu_0.5,
yeast,lof,0.01,0.0001,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.337085485458374,5.879600286483765,13.216685771942139,nu_0.5,
yeast,lof,0.05,0.0001,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.337085485458374,5.879600286483765,13.216685771942139,nu_0.5,
yeast,lof,0.1,0.0001,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.337085485458374,5.879600286483765,13.216685771942139,nu_0.5,
yeast,lof,0,0.0001,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.337085485458374,5.802171230316162,13.139256715774536,nu_0.5,
yeast,lof,0.01,0.0001,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.337085485458374,5.802171230316162,13.139256715774536,nu_0.5,
yeast,lof,0.05,0.0001,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.337085485458374,5.802171230316162,13.139256715774536,nu_0.5,
yeast,lof,0.1,0.0001,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.337085485458374,5.802171230316162,13.139256715774536,nu_0.5,
yeast,lof,0,0.01,True,50,10,0.2567,0.3195,0.2847,0.2882,0.3609,0.3205,0.2791,0.4734,0.3511,7.433014392852783,20.723105669021606,28.15612006187439,nu_0.1,
yeast,lof,0.01,0.01,True,50,10,0.2567,0.3195,0.2847,0.2882,0.3609,0.3205,0.2791,0.4734,0.3511,7.433014392852783,20.723105669021606,28.15612006187439,nu_0.1,
yeast,lof,0.05,0.01,True,50,10,0.2692,0.1105,0.1566,0.2882,0.3609,0.3205,0.2783,0.3688,0.3172,7.433014392852783,20.723105669021606,28.15612006187439,nu_0.1,
yeast,lof,0.1,0.01,True,50,10,0.4211,0.0158,0.0304,0.2882,0.3609,0.3205,0.2873,0.3609,0.3199,7.433014392852783,20.723105669021606,28.15612006187439,nu_0.1,
yeast,lof,0,0.01,True,50,50,0.0000,0.0000,0.0000,0.2882,0.3609,0.3205,0.2882,0.3609,0.3205,7.433014392852783,5.04534125328064,12.478355646133423,nu_0.1,
yeast,lof,0.01,0.01,True,50,50,0.0000,0.0000,0.0000,0.2882,0.3609,0.3205,0.2882,0.3609,0.3205,7.433014392852783,5.04534125328064,12.478355646133423,nu_0.1,
yeast,lof,0.05,0.01,True,50,50,0.0000,0.0000,0.0000,0.2882,0.3609,0.3205,0.2882,0.3609,0.3205,7.433014392852783,5.04534125328064,12.478355646133423,nu_0.1,
yeast,lof,0.1,0.01,True,50,50,0.0000,0.0000,0.0000,0.2882,0.3609,0.3205,0.2882,0.3609,0.3205,7.433014392852783,5.04534125328064,12.478355646133423,nu_0.1,
yeast,lof,0,0.01,True,50,10,0.3379,0.9684,0.5010,0.2938,0.4398,0.3523,0.3370,0.9684,0.5000,7.2786877155303955,14.81175446510315,22.090442180633545,nu_0.5,
yeast,lof,0.01,0.01,True,50,10,0.3379,0.9684,0.5010,0.2938,0.4398,0.3523,0.3370,0.9684,0.5000,7.2786877155303955,14.81175446510315,22.090442180633545,nu_0.5,
yeast,lof,0.05,0.01,True,50,10,0.3197,0.8028,0.4573,0.2938,0.4398,0.3523,0.3203,0.8383,0.4635,7.2786877155303955,14.81175446510315,22.090442180633545,nu_0.5,
yeast,lof,0.1,0.01,True,50,10,0.2901,0.3136,0.3014,0.2938,0.4398,0.3523,0.2969,0.5404,0.3832,7.2786877155303955,14.81175446510315,22.090442180633545,nu_0.5,
yeast,lof,0,0.01,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.2786877155303955,5.082604169845581,12.361291885375977,nu_0.5,
yeast,lof,0.01,0.01,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.2786877155303955,5.082604169845581,12.361291885375977,nu_0.5,
yeast,lof,0.05,0.01,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.2786877155303955,5.082604169845581,12.361291885375977,nu_0.5,
yeast,lof,0.1,0.01,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.2786877155303955,5.082604169845581,12.361291885375977,nu_0.5,
yeast,lof,0,0.01,True,100,10,0.2544,0.3116,0.2801,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.124251842498779,24.708712339401245,31.832964181900024,nu_0.1,
yeast,lof,0.01,0.01,True,100,10,0.2544,0.3116,0.2801,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.124251842498779,24.708712339401245,31.832964181900024,nu_0.1,
yeast,lof,0.05,0.01,True,100,10,0.2529,0.3018,0.2752,0.3401,0.4931,0.4026,0.3096,0.5661,0.4003,7.124251842498779,24.708712339401245,31.832964181900024,nu_0.1,
yeast,lof,0.1,0.01,True,100,10,0.2977,0.1262,0.1773,0.3401,0.4931,0.4026,0.3287,0.5089,0.3994,7.124251842498779,24.708712339401245,31.832964181900024,nu_0.1,
yeast,lof,0,0.01,True,100,50,0.2544,0.3116,0.2801,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.124251842498779,18.84353518486023,25.96778702735901,nu_0.1,
yeast,lof,0.01,0.01,True,100,50,0.2544,0.3116,0.2801,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.124251842498779,18.84353518486023,25.96778702735901,nu_0.1,
yeast,lof,0.05,0.01,True,100,50,0.2529,0.3018,0.2752,0.3401,0.4931,0.4026,0.3096,0.5661,0.4003,7.124251842498779,18.84353518486023,25.96778702735901,nu_0.1,
yeast,lof,0.1,0.01,True,100,50,0.2977,0.1262,0.1773,0.3401,0.4931,0.4026,0.3287,0.5089,0.3994,7.124251842498779,18.84353518486023,25.96778702735901,nu_0.1,
yeast,lof,0,0.01,True,100,10,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.137828588485718,19.012420654296875,26.150249242782593,nu_0.5,
yeast,lof,0.01,0.01,True,100,10,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.137828588485718,19.012420654296875,26.150249242782593,nu_0.5,
yeast,lof,0.05,0.01,True,100,10,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.137828588485718,19.012420654296875,26.150249242782593,nu_0.5,
yeast,lof,0.1,0.01,True,100,10,0.3113,0.7890,0.4464,0.3283,0.7771,0.4616,0.3291,0.9231,0.4852,7.137828588485718,19.012420654296875,26.150249242782593,nu_0.5,
yeast,lof,0,0.01,True,100,50,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.137828588485718,19.024937629699707,26.162766218185425,nu_0.5,
yeast,lof,0.01,0.01,True,100,50,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.137828588485718,19.024937629699707,26.162766218185425,nu_0.5,
yeast,lof,0.05,0.01,True,100,50,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.137828588485718,19.024937629699707,26.162766218185425,nu_0.5,
yeast,lof,0.1,0.01,True,100,50,0.3113,0.7890,0.4464,0.3283,0.7771,0.4616,0.3291,0.9231,0.4852,7.137828588485718,19.024937629699707,26.162766218185425,nu_0.5,
